years,values
2008 JAN,3.2
2008 FEB,7.8
2008 MAR,1.3
2008 APR,4.8
2008 MAY,1.1
2008 JUN,4.8
2008 JUL,-1.1
2008 AUG,5.3
2008 SEP,2
2008 OCT,-1.1
2008 NOV,1.1
2008 DEC,5.7
2009 JAN,1.7
2009 FEB,4.9
2009 MAR,-1.3
2009 APR,0.3
2009 MAY,3.9
2009 JUN,1.3
2009 JUL,2.1
2009 AUG,4.4
2009 SEP,-3.4
2009 OCT,11.2
2009 NOV,2.9
2009 DEC,-7.6
2010 JAN,-4
2010 FEB,2.5
2010 MAR,-2.4
2010 APR,6.4
2010 MAY,4.2
2010 JUN,-1.6
2010 JUL,10.8
2010 AUG,6.3
2010 SEP,-2.2
2010 OCT,4.6
2010 NOV,3
2010 DEC,-1.3
2011 JAN,0.3
2011 FEB,-5.1
2011 MAR,3.4
2011 APR,-2.7
2011 MAY,1.5
2011 JUN,0.5
2011 JUL,2.1
2011 AUG,-1
2011 SEP,2.5
2011 OCT,-1
2011 NOV,-3.3
2011 DEC,5.3
2012 JAN,3.5
2012 FEB,0.8
2012 MAR,0.1
2012 APR,2.9
2012 MAY,6.8
2012 JUN,-7.1
2012 JUL,6.1
2012 AUG,-1.9
2012 SEP,-0.3
2012 OCT,-1.3
2012 NOV,-3.9
2012 DEC,10.3
2013 JAN,-5.1
2013 FEB,4.7
2013 MAR,6.2
2013 APR,-1.3
2013 MAY,0.6
2013 JUN,-0.7
2013 JUL,0.7
2013 AUG,1.5
2013 SEP,4.9
2013 OCT,-2.9
2013 NOV,-1.4
2013 DEC,2.9
2014 JAN,0.2
2014 FEB,-1.7
2014 MAR,3.1
2014 APR,1.2
2014 MAY,1.7
2014 JUN,1.7
2014 JUL,0.7
2014 AUG,4.1
2014 SEP,-3.6
2014 OCT,0.6
2014 NOV,0.7
2014 DEC,3.7
2015 JAN,-1.3
2015 FEB,0.9
2015 MAR,0.4
2015 APR,0.9
2015 MAY,0.1
2015 JUN,3.2
2015 JUL,-2.4
2015 AUG,4.5
2015 SEP,1.3
2015 OCT,1.2
2015 NOV,5.2
2015 DEC,-2
2016 JAN,0.4
2016 FEB,0.3
2016 MAR,-1.1
2016 APR,6.5
2016 MAY,-0.8
2016 JUN,3.2
2016 JUL,0.6
2016 AUG,3.2
2016 SEP,0.5
2016 OCT,4.5
2016 NOV,2.7
2016 DEC,-3.9
2017 JAN,0.5
2017 FEB,2.4
2017 MAR,0.8
2017 APR,-1.3
2017 MAY,0
2017 JUN,3.2
2017 JUL,4.9
2017 AUG,1.2
2017 SEP,0.2
2017 OCT,-1
2017 NOV,5.4
2017 DEC,1.2
2018 JAN,0.9
2018 FEB,-0.5
2018 MAR,5.4
2018 APR,-3
2018 MAY,5.1
2018 JUN,0.4
2018 JUL,0.9
2018 AUG,1.7
2018 SEP,0
2018 OCT,0.5
2018 NOV,0.8
2018 DEC,-0.4
2019 JAN,-0.4
2019 FEB,2.9
2019 MAR,-0.1
2019 APR,1.7
2019 MAY,-1.2
2019 JUN,3.8
2019 JUL,1
2019 AUG,-3
2019 SEP,-2.2
2019 OCT,1.7
2019 NOV,-4.9
2019 DEC,9
2020 JAN,-3.5
2020 FEB,4.7
2020 MAR,14.7
2020 APR,15.8
2020 MAY,17.7
2020 JUN,16.6
2020 JUL,-9.7
2020 AUG,-1
2020 SEP,-2.2
2020 OCT,5
2020 NOV,14.2
2020 DEC,-11.5
2021 JAN,9.1
2021 FEB,12.6
2021 MAR,-0.5
2021 APR,-12.7
2021 MAY,-7.8
2021 JUN,-4.6
2021 JUL,-1
2021 AUG,0.3
2021 SEP,-0.5
2021 OCT,1
2021 NOV,-3.9
2021 DEC,-0.1
2022 JAN,0.4
2022 FEB,0.9
2022 MAR,-2
2022 APR,1.1
2022 MAY,-0.3
2022 JUN,-0.6
2022 JUL,0.5
2022 AUG,-1
2022 SEP,0.8
2022 OCT,-3
2022 NOV,0.3
2022 DEC,0.5
2023 JAN,-6.4
